array	sample	purity
TCGA-FD-A3SO-01	TCGA-FD-A3SO-01A-11D-A22Y-01	0.57
TCGA-FD-A3SP-01	TCGA-FD-A3SP-01A-31D-A22Y-01	0.32
TCGA-FD-A3SQ-01	TCGA-FD-A3SQ-01A-21D-A22Y-01	0.5
TCGA-FD-A3SR-01	TCGA-FD-A3SR-01A-11D-A22Y-01	0.57
TCGA-FD-A3SS-01	TCGA-FD-A3SS-01A-12D-A22Y-01	0.76
TCGA-FD-A43N-01	TCGA-FD-A43N-01A-11D-A23T-01	0.5
TCGA-FD-A43P-01	TCGA-FD-A43P-01A-31D-A23T-01	0.42
TCGA-FD-A43S-01	TCGA-FD-A43S-01A-21D-A23T-01	1
TCGA-FD-A43U-01	TCGA-FD-A43U-01A-11D-A23T-01	0.2
TCGA-FD-A43X-01	TCGA-FD-A43X-01A-11D-A23T-01	0.94
TCGA-FD-A43Y-01	TCGA-FD-A43Y-01A-21D-A26L-01	0.44
TCGA-FD-A5BR-01	TCGA-FD-A5BR-01A-11D-A26L-01	0.44
TCGA-FD-A5BS-01	TCGA-FD-A5BS-01A-21D-A26L-01	0.59
TCGA-FD-A5BT-01	TCGA-FD-A5BT-01A-11D-A26L-01	0.18
TCGA-FD-A5BU-01	TCGA-FD-A5BU-01A-31D-A26L-01	0.4
TCGA-FD-A5BV-01	TCGA-FD-A5BV-01A-11D-A26L-01	0.89
TCGA-FD-A5BX-01	TCGA-FD-A5BX-01A-11D-A26L-01	0.57
TCGA-FD-A5BY-01	TCGA-FD-A5BY-01A-31D-A288-01	0.58
TCGA-FD-A5BZ-01	TCGA-FD-A5BZ-01A-11D-A288-01	0.42
TCGA-FD-A5C0-01	TCGA-FD-A5C0-01A-11D-A288-01	0.58
TCGA-FD-A5C1-01	TCGA-FD-A5C1-01A-11D-A288-01	0.49
TCGA-FD-A62N-01	TCGA-FD-A62N-01A-11D-A30D-01	0.25
TCGA-FD-A62O-01	TCGA-FD-A62O-01A-11D-A30D-01	0.85
TCGA-FD-A62P-01	TCGA-FD-A62P-01A-32D-A30D-01	0.19
TCGA-FD-A62S-01	TCGA-FD-A62S-01A-11D-A30D-01	0.36
TCGA-FD-A6TA-01	TCGA-FD-A6TA-01A-12D-A338-01	0.6
TCGA-FD-A6TB-01	TCGA-FD-A6TB-01A-12D-A338-01	0.28
TCGA-FD-A6TC-01	TCGA-FD-A6TC-01A-21D-A338-01	0.57
TCGA-FD-A6TD-01	TCGA-FD-A6TD-01A-51D-A338-01	0.37
TCGA-FD-A6TE-01	TCGA-FD-A6TE-01A-12D-A338-01	0.82
TCGA-FD-A6TF-01	TCGA-FD-A6TF-01A-52D-A32A-01	0.31
TCGA-FD-A6TG-01	TCGA-FD-A6TG-01A-11D-A32A-01	0.39
TCGA-FD-A6TH-01	TCGA-FD-A6TH-01A-11D-A32A-01	0.77
TCGA-FD-A6TI-01	TCGA-FD-A6TI-01A-11D-A32A-01	0.5
TCGA-FD-A6TK-01	TCGA-FD-A6TK-01A-42D-A338-01	0.22
TCGA-FJ-A3Z7-01	TCGA-FJ-A3Z7-01A-12D-A23L-01	0.54
TCGA-FJ-A3Z9-01	TCGA-FJ-A3Z9-01A-11D-A26L-01	0.85
TCGA-FJ-A3ZE-01	TCGA-FJ-A3ZE-01A-11D-A23L-01	0.96
TCGA-FJ-A3ZF-01	TCGA-FJ-A3ZF-01A-11D-A23L-01	0.88
